unit,tagname,desc,calculation
PLTU Paiton 9,90AIR-O2-SEL.DROP10/60.UNIT1@NET0,Oxygen Sensor,None
PLTU Paiton 9,90HHA01AA118XQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Lower,Average
PLTU Paiton 9,90HHA02AA118XQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Lower,Average
PLTU Paiton 9,90HHA03AA118XQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Lower,Average
PLTU Paiton 9,90HHA04AA118XQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Lower,Average
PLTU Paiton 9,90HHA01AA118BXQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Upper,Average
PLTU Paiton 9,90HHA02AA118BXQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Upper,Average
PLTU Paiton 9,90HHA03AA118BXQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Upper,Average
PLTU Paiton 9,90HHA04AA118BXQ01.DROP10/60.UNIT1@NET0,Burner Tilt Position Upper,Average
PLTU Paiton 9,90AIR-TOTSA-FLOW.DROP10/60.UNIT1@NET0,Total Secondary Air Flow,None
PLTU Paiton 9,90LBC10CP111.DROP9/59.UNIT1@NET0,Cold Reheat Steam Pressure,None
PLTU Paiton 9,90LBC10CT602.DROP9/59.UNIT1@NET0,Cold Reheat Steam Temperature,None
PLTU Paiton 9,90LAB41CF10X-SEL.DROP10/60.UNIT1@NET0,Feed Water Flow,None
PLTU Paiton 9,90LAB41CP10X-SEL.DROP10/60.UNIT1@NET0,Feed Water Pressure,None
PLTU Paiton 9,90LAB41CT30X-SEL.DROP10/60.UNIT1@NET0,Feed Water Temperature,None
PLTU Paiton 9,DEH1-HRHR.DROP9/59.UNIT1@NET0,Hot Reheat Steam Pressure,None
PLTU Paiton 9,90LBB20CT601.DROP9/59.UNIT1@NET0,Hot Reheat Steam Temperature,None
PLTU Paiton 9,90FWS-STM-FLOW.DROP10/60.UNIT1@NET0,Main Steam Flow,None
PLTU Paiton 9,90LBA20CP10X-SEL.DROP10/60.UNIT1@NET0,Main Steam Pressure,None
PLTU Paiton 9,90LBA20CT601.DROP9/59.UNIT1@NET0,Main Steam Temperature,None
PLTU Paiton 9,90LAF01CF101-CMP1.DROP10/60.UNIT1@NET0,Reheat Spray water Flow,Sum
PLTU Paiton 9,90LAF02CF101-CMP1.DROP10/60.UNIT1@NET0,Reheat Spray water Flow,Sum
PLTU Paiton 9,90LAF10CT301.DROP6/56.UNIT1@NET0,Reheat Spray water Temperature,None
PLTU Paiton 9,90LAE01CF101-CMP1.DROP10/60.UNIT1@NET0,SH Spray Water Flow,Sum Div By Two
PLTU Paiton 9,90LAE02CF101-CMP1.DROP10/60.UNIT1@NET0,SH Spray Water Flow,Sum Div By Two
PLTU Paiton 9,90LAE03CF101-CMP1.DROP10/60.UNIT1@NET0,SH Spray Water Flow,Sum Div By Two
PLTU Paiton 9,90LAE04CF101-CMP1.DROP10/60.UNIT1@NET0,SH Spray Water Flow,Sum Div By Two
PLTU Paiton 9,90LAE01CT301.DROP10/60.UNIT1@NET0,SH Spray Water Temperture 1,Average
PLTU Paiton 9,90LAE01CT302.DROP10/60.UNIT1@NET0,SH Spray Water Temperture 1,Average
PLTU Paiton 9,90LAE03CT301.DROP10/60.UNIT1@NET0,SH Spray Water Temperture 2,Average
PLTU Paiton 9,90LAE04CT301.DROP10/60.UNIT1@NET0,SH Spray Water Temperture 2,Average
PLTU Paiton 9,DEH1-MWGROSS.DROP41/91.UNIT1@NET0,Load,None
PLTU Paiton 9,90AIR-TOTPA-FLOW.DROP10/60.UNIT1@NET0,PA Flow,None
PLTU Paiton 9,90FUE-TOT-FLOW.DROP10/60.UNIT1@NET0,Total Coal Flow,None
PLTU Paiton 9,90HHA01AA118YQ01.DROP10/60.UNIT1@NET0,Burner Tilt Lower Command,None
PLTU Paiton 9,90HHA01AA118BYQ01.DROP10/60.UNIT1@NET0,Burner Tilt Upper Command,None
PLTU Paiton 9,90HBK10CP10X-SEL.DROP10/60.UNIT1@NET0,Furnace Pressure,None
PLTU Paiton 9,90HHA01AA115XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers G,Average
PLTU Paiton 9,90HHA01AA116XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers H,Average
PLTU Paiton 9,90HHA01AA117XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers I,Average
PLTU Paiton 9,90HHA02AA115XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers G,Average
PLTU Paiton 9,90HHA02AA116XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers H,Average
PLTU Paiton 9,90HHA02AA117XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers I,Average
PLTU Paiton 9,90HHA03AA115XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers G,Average
PLTU Paiton 9,90HHA03AA116XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers H,Average
PLTU Paiton 9,90HHA03AA117XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers I,Average
PLTU Paiton 9,90HHA04AA115XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers G,Average
PLTU Paiton 9,90HHA04AA116XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers H,Average
PLTU Paiton 9,90HHA04AA117XQ01.DROP10/60.UNIT1@NET0,Over-Fire-Air Dampers I,Average
PLTU Paiton 9,90HBK10CP150.DROP10/60.UNIT1@NET0,Windbox-to-Furnace Diff. Press,Average
PLTU Paiton 9,90HBK10CP151.DROP10/60.UNIT1@NET0,Windbox-to-Furnace Diff. Press,Average
PLTU Paiton 9,90HBK10CP152.DROP10/60.UNIT1@NET0,Windbox-to-Furnace Diff. Press,Average
PLTU Paiton 9,90AIR-TOT-FLOW.DROP10/60.UNIT1@NET0,Total Air Flow,None
PLTU Paiton 9,90HFC10CT30X-SEL.DROP3/53.UNIT1@NET0,Mill Outlet Temperature A,None
PLTU Paiton 9,90HFC20CT30X-SEL.DROP3/53.UNIT1@NET0,Mill Outlet Temperature B,None
PLTU Paiton 9,90HFC30CT30X-SEL.DROP3/53.UNIT1@NET0,Mill Outlet Temperature C,None
PLTU Paiton 9,90HFC40CT30X-SEL.DROP8/58.UNIT1@NET0,Mill Outlet Temperature D,None
PLTU Paiton 9,90HFC50CT30X-SEL.DROP8/58.UNIT1@NET0,Mill Outlet Temperature E,None
PLTU Paiton 9,90HFC60CT30X-SEL.DROP8/58.UNIT1@NET0,Mill Outlet Temperature F,None
PLTU Paiton 9,Efficiency,Efficiency,None
PLTU Paiton 9,90HFE10CT601.DROP10/60.UNIT1@NET0,Mill A Inlet Temperature,None
PLTU Paiton 9,90HFE20CT601.DROP10/60.UNIT1@NET0,Mill B Inlet Temperature,None
PLTU Paiton 9,90HFE30CT601.DROP10/60.UNIT1@NET0,Mill C Inlet Temperature,None
PLTU Paiton 9,90HFE40CT601.DROP10/60.UNIT1@NET0,Mill D Inlet Temperature,None
PLTU Paiton 9,90HFE50CT601.DROP10/60.UNIT1@NET0,Mill E Inlet Temperature,None
PLTU Paiton 9,90HFE60CT601.DROP10/60.UNIT1@NET0,Mill F Inlet Temperature,None
